State,County,Preventable Hospital Stays,PCP Number,PCP Rate,MHP Number,MHP Rate,Smoking %,Obesity %,Physical Inactivy %,Mammogram %,Flu Vaccine %,Income 80%,Income 20%,Life Expectancy
Kentucky,Morgan,4292.0,3.0,22.0,30.0,225.0,29,36,32,30.0,32.0,75321.0,14290.0,75.488225569
Kentucky,Muhlenberg,5667.0,13.0,42.0,22.0,72.0,26,36,35,42.0,36.0,82567.0,18667.0,75.103417816
Kentucky,Nelson,3599.0,23.0,50.0,69.0,149.0,22,39,29,44.0,54.0,106978.0,28057.0,76.082967336
Kentucky,Nicholas,6434.0,1.0,14.0,2.0,28.0,29,35,29,37.0,47.0,85282.0,16937.0,74.188211382
Kentucky,Ohio,5786.0,7.0,29.0,10.0,42.0,27,31,41,47.0,41.0,84674.0,20976.0,75.418894919
Kentucky,Oldham,3844.0,39.0,59.0,62.0,93.0,16,23,19,51.0,53.0,177495.0,45169.0,79.812147528
Kentucky,Owen,4975.0,4.0,37.0,5.0,46.0,26,32,28,32.0,40.0,105650.0,18636.0,76.270593302
Kentucky,Pendleton,5339.0,3.0,21.0,9.0,62.0,26,33,30,36.0,48.0,104096.0,18837.0,73.026578421
Kentucky,Perry,12008.0,32.0,123.0,207.0,804.0,29,43,37,25.0,25.0,77596.0,13504.0,68.459198083
Kentucky,Pike,9734.0,52.0,89.0,65.0,112.0,29,40,38,31.0,40.0,77691.0,13446.0,73.072109417
Kentucky,Powell,5197.0,1.0,8.0,10.0,81.0,27,29,26,33.0,35.0,81764.0,14885.0,69.737151752
Kentucky,Pulaski,3956.0,50.0,77.0,217.0,334.0,24,39,34,34.0,35.0,85360.0,14944.0,74.18174363
Kentucky,Rockcastle,6618.0,7.0,42.0,6.0,36.0,27,37,33,32.0,22.0,78096.0,14607.0,73.623086434
Kentucky,Rowan,5559.0,19.0,77.0,140.0,572.0,26,36,30,36.0,50.0,85413.0,15674.0,75.981104364
Kentucky,Russell,3533.0,6.0,34.0,26.0,145.0,27,35,38,39.0,32.0,76005.0,15215.0,74.0689395
Kentucky,Scott,4223.0,32.0,57.0,47.0,82.0,20,36,26,44.0,51.0,125563.0,32007.0,76.950066143
Kentucky,Shelby,4357.0,17.0,35.0,75.0,153.0,21,34,21,44.0,53.0,126253.0,29131.0,78.794883254
Kentucky,Simpson,7864.0,7.0,38.0,16.0,86.0,24,39,29,29.0,53.0,89238.0,22985.0,74.405933357
Kentucky,Spencer,4928.0,8.0,43.0,5.0,26.0,21,36,26,41.0,53.0,133457.0,34480.0,77.687815943
Kentucky,Taylor,5884.0,18.0,70.0,54.0,210.0,25,39,37,41.0,42.0,82523.0,17198.0,75.101332132
Kentucky,Todd,5220.0,3.0,24.0,3.0,24.0,26,40,35,37.0,36.0,90008.0,15703.0,74.667779402
Kentucky,Trigg,4023.0,2.0,14.0,2.0,14.0,23,36,34,43.0,42.0,94767.0,22593.0,77.2310368
Kentucky,Trimble,6015.0,2.0,23.0,2.0,24.0,26,38,35,39.0,44.0,99590.0,18429.0,74.617824721
Kentucky,Union,5251.0,3.0,21.0,7.0,49.0,26,40,32,47.0,34.0,92630.0,23390.0,74.677357122
Kentucky,Warren,5418.0,88.0,67.0,358.0,269.0,22,28,24,42.0,52.0,102025.0,22420.0,77.364804962
Kentucky,Washington,4060.0,4.0,33.0,13.0,107.0,24,37,27,49.0,47.0,100041.0,23058.0,76.786316094
Kentucky,Wayne,4207.0,11.0,54.0,25.0,123.0,28,42,37,30.0,26.0,69827.0,14482.0,76.630790456
Kentucky,Webster,4607.0,3.0,23.0,4.0,31.0,27,39,29,40.0,46.0,88740.0,16315.0,74.728124187
Kentucky,Whitley,4521.0,26.0,72.0,560.0,1544.0,28,36,35,33.0,31.0,82614.0,14701.0,70.904205657
Kentucky,Wolfe,5984.0,1.0,14.0,13.0,182.0,34,38,39,25.0,36.0,53957.0,11287.0,70.3042157
Kentucky,Woodford,3274.0,16.0,60.0,29.0,108.0,20,31,23,45.0,55.0,120990.0,27679.0,78.298298129
Louisiana,Acadia,5819.0,23.0,37.0,53.0,85.0,27,41,32,48.0,49.0,97084.0,16444.0,74.900417121
Louisiana,Allen,6489.0,3.0,12.0,25.0,98.0,27,28,33,35.0,33.0,94609.0,17720.0,75.14601182
Louisiana,Ascension,4498.0,51.0,41.0,130.0,103.0,20,35,25,45.0,50.0,144047.0,30454.0,79.482054574
Louisiana,Assumption,5143.0,3.0,13.0,6.0,27.0,27,36,28,41.0,49.0,105214.0,16243.0,77.084330874
Louisiana,Avoyelles,6992.0,11.0,27.0,73.0,182.0,28,45,36,38.0,41.0,89341.0,13956.0,73.960145816
Louisiana,Beauregard,7331.0,15.0,40.0,26.0,69.0,25,38,33,33.0,42.0,104562.0,20178.0,75.707499208
Louisiana,Bienville,7696.0,2.0,15.0,45.0,340.0,28,47,27,36.0,39.0,80980.0,11714.0,73.832278394
Louisiana,Bossier,6455.0,56.0,44.0,288.0,227.0,20,35,28,46.0,49.0,107600.0,22386.0,77.820100965
Louisiana,Caddo,6243.0,282.0,116.0,1647.0,686.0,23,42,29,43.0,45.0,94214.0,16568.0,74.912237275
Louisiana,Calcasieu,4182.0,158.0,78.0,528.0,260.0,23,36,29,43.0,43.0,109892.0,20805.0,75.179488765
Louisiana,Caldwell,14316.0,3.0,30.0,14.0,141.0,29,43,29,34.0,29.0,87412.0,14135.0,73.680847648
Louisiana,Catahoula,6184.0,1.0,10.0,2.0,21.0,27,38,37,34.0,30.0,105574.0,14275.0,75.84656368
Louisiana,Claiborne,8081.0,6.0,38.0,14.0,89.0,28,39,34,40.0,28.0,57886.0,11609.0,75.46005659
Louisiana,Concordia,7952.0,5.0,26.0,102.0,530.0,29,43,36,41.0,41.0,76933.0,14268.0,73.28390181
Louisiana,De Soto,6961.0,5.0,18.0,67.0,244.0,26,43,30,45.0,36.0,102455.0,15672.0,76.265143295
Louisiana,East Baton Rouge,3729.0,405.0,92.0,1819.0,413.0,19,34,27,43.0,50.0,120227.0,21402.0,76.096172169
Louisiana,East Carroll,16394.0,3.0,43.0,35.0,510.0,34,47,20,36.0,18.0,58543.0,7625.0,72.083859764
Louisiana,East Feliciana,4998.0,6.0,31.0,71.0,371.0,26,39,26,39.0,44.0,108203.0,21068.0,73.422867362
